time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-03-05T14:50:05.240Z,33.497,-116.7903333,6.16,1.09,ml,42,35,0.08134,0.17,ci,ci37888519,2018-03-05T15:01:22.210Z,"9km NE of Aguanga, CA",earthquake,0.18,0.69,0.129,25,reviewed,ci,ci
2018-03-05T14:15:12.540Z,33.4935,-116.7871667,6.63,0.39,ml,15,77,0.08293,0.14,ci,ci37888495,2018-03-05T15:01:05.704Z,"9km NE of Aguanga, CA",earthquake,0.27,0.76,0.096,10,reviewed,ci,ci
2018-03-05T14:09:38.110Z,33.3825,-116.8723333,5.13,1,ml,36,33,0.02993,0.23,ci,ci37888487,2018-03-05T14:15:09.124Z,"3km NNW of Palomar Observatory, CA",earthquake,0.28,0.82,0.105,27,reviewed,ci,ci
2018-03-05T14:08:24.310Z,37.6496658,-118.9426651,5.26,0.74,md,9,88,0.01651,0.02,nc,nc72979416,2018-03-05T14:41:02.524Z,"4km ENE of Mammoth Lakes, CA",earthquake,1.46,2.22,0.23,8,automatic,nc,nc
2018-03-05T14:08:11.370Z,33.765,-116.9028333,11,0.95,ml,10,84,0.1689,0.22,ci,ci37888479,2018-03-05T14:11:55.890Z,"2km NNW of Valle Vista, CA",earthquake,0.73,3.29,0.312,16,automatic,ci,ci
2018-03-05T13:45:08.226Z,60.9685,-150.2176,25.3,1,ml,,,,0.62,ak,ak18590180,2018-03-05T13:50:01.208Z,"32km SSW of Anchorage, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-03-05T13:31:18.553Z,54.0088,-162.4076,105.8,2.4,ml,,,,0.28,ak,ak18589826,2018-03-05T18:27:33.189Z,"114km SE of False Pass, Alaska",earthquake,,32.9,,,reviewed,ak,ak
2018-03-05T13:20:31.120Z,17.9393,-68.3068,39,2.58,md,7,212,0.5794,0.85,pr,pr2018064004,2018-03-05T17:02:38.040Z,"53km SSE of Boca de Yuma, Dominican Republic",earthquake,5.16,9.95,0.42,6,reviewed,pr,pr
2018-03-05T13:08:06.560Z,-41.0834,-92.1317,10,4.5,mb,,183,14.696,0.74,us,us2000dcf1,2018-03-05T14:35:50.040Z,"Southeast of Easter Island",earthquake,16,2,0.099,30,reviewed,us,us
2018-03-05T12:56:28.650Z,33.4906667,-116.782,6.64,0.33,ml,12,118,0.08337,0.12,ci,ci37888463,2018-03-05T14:15:41.253Z,"9km NE of Aguanga, CA",earthquake,0.31,0.61,0.052,7,reviewed,ci,ci
2018-03-05T12:50:10.830Z,33.5093333,-116.7946667,3.65,0.88,ml,37,38,0.07364,0.19,ci,ci37888455,2018-03-05T14:20:28.950Z,"10km NE of Aguanga, CA",earthquake,0.2,0.59,0.168,28,reviewed,ci,ci
2018-03-05T12:47:56.580Z,18.9276,-68.8568,11,1.55,md,3,205,0.6302,0.19,pr,pr2018064003,2018-03-05T16:58:36.498Z,"21km ESE of Miches, Dominican Republic",earthquake,7.91,5.8,0.3,3,reviewed,pr,pr
2018-03-05T12:35:07.510Z,-5.7553,142.3121,10,4.2,mb,,165,6.019,0.9,us,us2000dcen,2018-03-05T12:56:11.040Z,"103km WSW of Porgera, Papua New Guinea",earthquake,6.9,2,0.141,14,reviewed,us,us
2018-03-05T12:18:59.214Z,63.0991,-151.4644,5.3,1.3,ml,,,,0.48,ak,ak18589389,2018-03-05T12:24:53.338Z,"110km NW of Talkeetna, Alaska",earthquake,,0.4,,,automatic,ak,ak
